video,prompt,negative_prompt,num_images
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/6/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/7/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/8/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/9/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/0/env/camera/cam_0,A physics simulation of a duck falling into a box,,25
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/1/env/camera/cam_0,A physics simulation of a duck falling into a box,,41
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/2/env/camera/cam_0,A physics simulation of a duck falling into a box,,85
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/3/env/camera/cam_0,A physics simulation of a duck falling into a box,,84
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/4/env/camera/cam_0,A physics simulation of a duck falling into a box,,31
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/5/env/camera/cam_0,A physics simulation of a duck falling into a box,,118
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/6/env/camera/cam_0,A physics simulation of a duck falling into a box,,30
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/7/env/camera/cam_0,A physics simulation of a duck falling into a box,,64
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/8/env/camera/cam_0,A physics simulation of a duck falling into a box,,30
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_falls_in_box_collect/9/env/camera/cam_0,A physics simulation of a duck falling into a box,,31
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/0/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/1/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/2/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/3/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/4/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/5/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/6/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/7/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/8/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_block_collect/9/env/camera/cam_0,A physics simulation showing lighting effects on a block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/0/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/1/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/2/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/3/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/4/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/5/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/6/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/7/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/8/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_block_collect/9/env/camera/cam_0,A physics simulation showing lighting on a mug and block,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/0/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/1/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/2/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/3/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/4/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/5/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/6/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/7/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/8/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_mug_collect/9/env/camera/cam_0,A physics simulation showing lighting effects on a mug,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/0/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/1/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/2/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/3/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/4/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/5/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/6/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/7/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/8/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_light_on_sculpture_collect/9/env/camera/cam_0,A physics simulation showing lighting on a sculpture,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/0/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/1/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/2/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/3/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/4/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/5/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/6/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/7/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/8/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_ball_rotate_collect/9/env/camera/cam_0,A physics simulation of a mirror ball rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/0/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/1/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/2/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/3/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/4/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/5/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/6/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/7/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/8/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_mirror_teapot_rotate_collect/9/env/camera/cam_0,A physics simulation of a mirror teapot rotating,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/0/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/1/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/2/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/3/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/4/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/5/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/6/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/7/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/8/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_smiley_ball_rotates_collect/9/env/camera/cam_0,A physics simulation of a smiley ball rotating,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/0/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/1/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/2/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/3/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/4/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/5/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/6/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/7/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/8/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_two_balls_pass_collect/9/env/camera/cam_0,A physics simulation of two balls passing each other,,80
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/0/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/1/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/2/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/3/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/4/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/5/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/6/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/7/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/8/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
/nyx-storage1/hanliu/PhysicsIQv2/test_weight_on_ceramic_collect/9/env/camera/cam_0,A physics simulation of a weight on ceramic,,50
