video,prompt,negative_prompt,num_images
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/111/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 111),,141
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/112/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 112),,196
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/113/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 113),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/114/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 114),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/115/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 115),,183
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/116/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 116),,142
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/117/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 117),,168
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/118/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 118),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/119/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 119),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/12/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 12),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/120/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 120),,213
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/121/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 121),,134
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/122/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 122),,176
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/123/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 123),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/124/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 124),,142
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/125/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 125),,185
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/126/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 126),,191
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/127/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 127),,185
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/128/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 128),,136
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/129/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 129),,133
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/13/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 13),,187
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/130/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 130),,140
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/131/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 131),,177
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/132/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 132),,145
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/133/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 133),,155
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/134/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 134),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/135/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 135),,135
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/136/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 136),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/137/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 137),,204
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/138/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 138),,185
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/139/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 139),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/14/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 14),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/140/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 140),,137
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/141/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 141),,166
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/142/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 142),,80
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/144/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 144),,46
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/145/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 145),,46
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/146/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 146),,46
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/147/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 147),,58
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/148/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 148),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/149/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 149),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/15/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 15),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/150/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 150),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/151/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 151),,70
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/152/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 152),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/153/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 153),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/154/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 154),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/155/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 155),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/156/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 156),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/157/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 157),,97
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/158/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 158),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/159/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 159),,181
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/16/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 16),,246
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/160/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 160),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/161/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 161),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/162/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 162),,187
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/163/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 163),,183
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/164/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 164),,181
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/166/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 166),,45
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/167/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 167),,46
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/168/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 168),,46
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/169/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 169),,57
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/17/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 17),,140
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/170/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 170),,57
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/171/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 171),,57
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/172/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 172),,58
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/173/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 173),,74
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/174/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 174),,76
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/175/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 175),,76
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/176/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 176),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/177/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 177),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/178/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 178),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/179/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 179),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/18/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 18),,184
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/180/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 180),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/181/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 181),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/182/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 182),,72
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/183/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 183),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/184/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 184),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/185/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 185),,92
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/186/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 186),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/187/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 187),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/188/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 188),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/189/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 189),,71
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/19/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 19),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/190/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 190),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/191/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 191),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/192/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 192),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/193/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 193),,70
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/194/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 194),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/195/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 195),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/196/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 196),,155
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/197/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 197),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/198/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 198),,80
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/199/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 199),,90
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/2/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 2),,59
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/20/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 20),,162
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/200/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 200),,193
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/201/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 201),,229
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/202/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 202),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/203/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 203),,69
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/204/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 204),,181
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/205/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 205),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/206/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 206),,81
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/207/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 207),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/208/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 208),,211
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/209/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 209),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/21/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 21),,152
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/210/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 210),,135
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/211/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 211),,146
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/212/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 212),,82
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/213/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 213),,156
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/214/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 214),,191
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/215/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 215),,139
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/216/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 216),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/217/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 217),,197
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/218/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 218),,127
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/219/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 219),,148
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/22/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 22),,151
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/220/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 220),,102
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/221/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 221),,227
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/222/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 222),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/223/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 223),,215
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/224/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 224),,171
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/225/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 225),,127
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/226/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 226),,174
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/227/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 227),,168
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/228/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 228),,165
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/229/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 229),,131
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/23/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 23),,177
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/230/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 230),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/231/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 231),,123
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/232/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 232),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/233/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 233),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/234/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 234),,156
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/235/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 235),,149
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/236/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 236),,72
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/237/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 237),,239
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/238/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 238),,160
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/239/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 239),,161
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/24/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 24),,132
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/240/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 240),,132
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/241/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 241),,202
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/242/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 242),,155
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/243/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 243),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/244/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 244),,140
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/245/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 245),,163
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/246/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 246),,139
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/247/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 247),,120
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/248/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 248),,130
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/249/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 249),,171
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/25/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 25),,148
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/250/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 250),,159
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/251/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 251),,128
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/252/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 252),,160
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/253/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 253),,50
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/254/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 254),,150
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/255/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 255),,171
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/256/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 256),,144
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/257/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 257),,184
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/258/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 258),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/259/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 259),,138
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/26/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 26),,160
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/260/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 260),,198
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/261/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 261),,147
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/262/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 262),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/263/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 263),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/264/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 264),,135
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/265/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 265),,131
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/266/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 266),,159
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/267/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 267),,172
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/268/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 268),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/269/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 269),,60
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/27/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 27),,165
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/270/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 270),,202
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/271/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 271),,128
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/272/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 272),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/273/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 273),,164
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/274/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 274),,136
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/275/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 275),,146
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/276/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 276),,150
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/277/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 277),,193
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/278/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 278),,148
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/279/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 279),,179
